Scenario,N,Select Dose 1 (%),Select Dose 2 (%),Mean DLT rate (%),Stop probability (%)
S4,12,74.7,25.3,25.1,3.7
S4,15,74,26,25.2,4.5
S4,18,80.3,19.7,25.4,5.2
S5,12,91.9,8.1,35,16.3
S5,15,92.8,7.2,35.9,20.5
S5,18,95.8,4.2,36.1,23.2
