Scenario,N,Mean patients Dose 1,Mean patients Dose 2
S1,12,4.7,7.3
S1,15,5.1,9.9
S1,18,5.5,12.5
S2,12,5.9,6.1
S2,15,7,8
S2,18,7.9,10.1
S3,12,7.1,4.9
S3,15,8.6,6.3
S3,18,10.3,7.6
S4,12,8.3,3.5
S4,15,10.4,4.3
S4,18,12.5,5
S5,12,9.3,2
S5,15,11.5,2.2
S5,18,13.7,2.4
