Scenario,N,Mean estimated toxicity (%),Within +/-5 percentage points (%),Median 90% interval width,Mean 90% interval width
S1,12,14.3,28.8,0.311,0.315
S1,15,15.1,42.4,0.31,0.289
S1,18,14.3,31.7,0.266,0.261
S2,12,17,41.1,0.323,0.331
S2,15,17.7,46.4,0.31,0.305
S2,18,16.9,41.4,0.272,0.276
S3,12,19.4,48.7,0.366,0.342
S3,15,20.1,44.9,0.313,0.317
S3,18,19.3,46.6,0.3,0.288
S4,12,22.9,50.6,0.368,0.358
S4,15,23.4,38,0.343,0.332
S4,18,22.6,45.4,0.3,0.303
S5,12,30.7,36.2,0.398,0.391
S5,15,31.8,21.7,0.364,0.369
S5,18,31.9,26.9,0.333,0.348
