"total_n","n_per_arm","true_ratio","reduction_percent","true_beta","sigma_central","sdlog","probability_success","MCSE","mean_posterior_probability","mean_true_SD","median_true_SD","mean_estimated_SD","q025_true_SD","q975_true_SD"
44,22,0.5,50,-0.301029995663981,0.285,0.2,0.9238,0.00187608048867846,0.991036945496371,0.290766747815172,0.284828086853565,0.289006634999933,0.193377839004319,0.421799346427598
44,22,0.5,50,-0.301029995663981,0.285,0.25,0.91195,0.00200371152489574,0.989264496783424,0.294713895720493,0.28560958244668,0.293120399359746,0.174611713793617,0.46823307784615
46,23,0.5,50,-0.301029995663981,0.285,0,0.9553,0.00146119659868205,0.995240406765833,0.285,0.285,0.283621282564859,0.285,0.285
46,23,0.5,50,-0.301029995663981,0.285,0.1,0.94915,0.00155345224419678,0.994680302883466,0.2864146567158,0.284974265515496,0.284683677098482,0.234480742370245,0.345494013503524
46,23,0.5,50,-0.301029995663981,0.285,0.15,0.9408,0.00166876241568415,0.99332940904922,0.287769613865846,0.284580927861264,0.286506350676444,0.211321781847516,0.381092068383473
46,23,0.5,50,-0.301029995663981,0.285,0.2,0.931,0.00179219139602889,0.992335662741375,0.291082321709757,0.285347377392972,0.289623592360481,0.193183556560934,0.423328724794493
46,23,0.5,50,-0.301029995663981,0.285,0.25,0.91825,0.00193735563978326,0.990614866843082,0.294356320649444,0.28566430969897,0.292753072155359,0.175464976090016,0.465823758592755
48,24,0.5,50,-0.301029995663981,0.285,0,0.9611,0.00136723790907069,0.995959013403027,0.285,0.285,0.283690211744017,0.285,0.285
48,24,0.5,50,-0.301029995663981,0.285,0.1,0.95575,0.00145416535339005,0.99507376484064,0.286743687404374,0.285344310052375,0.285175657584625,0.234244885375196,0.347067660169511
48,24,0.5,50,-0.301029995663981,0.285,0.15,0.95035,0.00153598303213284,0.994580226391607,0.288397419738025,0.285243194378426,0.286790421618016,0.212191254275005,0.383961066443643
48,24,0.5,50,-0.301029995663981,0.285,0.2,0.93635,0.00172624849746495,0.99301846026354,0.290565643293132,0.28496705248413,0.289230266207877,0.191853405171178,0.42365613167273
48,24,0.5,50,-0.301029995663981,0.285,0.25,0.92765,0.00183187714517104,0.991618714956994,0.294469341892211,0.285566735556714,0.293126947276919,0.175813358234349,0.46583730063762
50,25,0.5,50,-0.301029995663981,0.285,0,0.96855,0.00123411704266654,0.996676036084538,0.285,0.285,0.283764611443061,0.285,0.285
50,25,0.5,50,-0.301029995663981,0.285,0.1,0.9627,0.00133993861799711,0.995991789578679,0.286577506586696,0.284986364146817,0.285313801512859,0.234856969994119,0.346450562438135
50,25,0.5,50,-0.301029995663981,0.285,0.15,0.95145,0.0015197515833188,0.994624594470644,0.288194083609348,0.285058638099532,0.287038898825224,0.212906129035092,0.381959722146645
50,25,0.5,50,-0.301029995663981,0.285,0.2,0.9463,0.00159399356962316,0.993965162521393,0.290395895461799,0.284672279504889,0.288822926203795,0.191954166027115,0.420980596526103
50,25,0.5,50,-0.301029995663981,0.285,0.25,0.93475,0.00174631665942921,0.992062578900993,0.293622832091501,0.284960323639406,0.292553028770015,0.173499149785341,0.464492118638341
