"total_n","n_per_arm","true_ratio","reduction_percent","true_beta","sigma_central","sdlog","probability_success","MCSE","mean_posterior_probability","mean_true_SD","median_true_SD","mean_estimated_SD","q025_true_SD","q975_true_SD"
36,18,1,0,0,0.285,0.15,0.03445,0.00128963555898556,0.535306383954103,0.288565374156856,0.285252532014657,0.287005355793446,0.213278768322632,0.383422284306742
36,18,0.75,25,-0.1249387366083,0.285,0.15,0.3158,0.00328687054810499,0.849319937052037,0.288233255814112,0.284851125662946,0.286780685110426,0.21168931984174,0.382910032165381
36,18,0.7,30,-0.154901959985743,0.285,0.15,0.42675,0.00349738786453547,0.8925714077845,0.287808336627845,0.284363586621996,0.286319458478431,0.212660814207184,0.382813998006374
36,18,0.6,40,-0.221848749616356,0.285,0.15,0.6821,0.00329271612806206,0.956317685893397,0.288122497494051,0.28495714786239,0.286265710649856,0.213606709389769,0.381781699910344
36,18,0.5,50,-0.301029995663981,0.285,0.15,0.88495,0.00225625239612061,0.986820582187445,0.288103163084356,0.28461471672308,0.286809832268943,0.212283671197886,0.383383242960122
38,19,1,0,0,0.285,0.15,0.035,0.0012995191418367,0.539379100275269,0.288155694965563,0.284788654839172,0.286626802974668,0.21260955124173,0.38072560949187
38,19,0.75,25,-0.1249387366083,0.285,0.15,0.3228,0.00330605626086429,0.849939555374844,0.288118534839147,0.285260845272408,0.286692940009136,0.211710915334425,0.381930447679128
38,19,0.7,30,-0.154901959985743,0.285,0.15,0.44065,0.00351053826001085,0.895255108333391,0.287928241273342,0.284951638996417,0.286263053596873,0.212584089245071,0.381744695072661
38,19,0.6,40,-0.221848749616356,0.285,0.15,0.7033,0.00323008598956746,0.959919072179053,0.288497401896573,0.285468397240378,0.287209696832303,0.212033789531915,0.381768286367644
38,19,0.5,50,-0.301029995663981,0.285,0.15,0.90425,0.00208064818626312,0.988904001164555,0.287907103027059,0.284318116624073,0.286326554591948,0.212666743239716,0.382643354736958
40,20,1,0,0,0.285,0.15,0.0352,0.00130309170820783,0.534309859636128,0.287950151598434,0.284143589744547,0.286256793226358,0.212238764496097,0.383479512544207
40,20,0.75,25,-0.1249387366083,0.285,0.15,0.3303,0.00332567218769379,0.858377367631583,0.288498285943318,0.284769292618437,0.286942169726383,0.213443933439534,0.384196734533726
40,20,0.7,30,-0.154901959985743,0.285,0.15,0.4594,0.00352385896426063,0.902001732653556,0.288867828786099,0.285474122503102,0.287019957504391,0.211954576579953,0.385557280643936
40,20,0.6,40,-0.221848749616356,0.285,0.15,0.72335,0.00316318492583029,0.962659918290466,0.288102826758437,0.284645140758793,0.286443137975794,0.2121934279751,0.383184608323765
40,20,0.5,50,-0.301029995663981,0.285,0.15,0.91385,0.00198403852659166,0.990582696901305,0.288738657701261,0.285391966205953,0.287470612574043,0.212348605640334,0.382538977950782
42,21,1,0,0,0.285,0.15,0.03395,0.00128057404120184,0.536705495921165,0.288283770888037,0.284768929838454,0.287049735613308,0.212476239784151,0.382640538767673
42,21,0.75,25,-0.1249387366083,0.285,0.15,0.34155,0.00335330879505601,0.861766083396509,0.287962958082148,0.284968927475678,0.286456819788225,0.212801990828915,0.38317012464962
42,21,0.7,30,-0.154901959985743,0.285,0.15,0.4682,0.00352837611373844,0.905222082783931,0.288405336614407,0.285358172264018,0.287067876088534,0.212436754466544,0.383623742265714
42,21,0.6,40,-0.221848749616356,0.285,0.15,0.74395,0.00308616588585254,0.965351283698732,0.288108107265589,0.285198490480227,0.286456182396742,0.211678276494456,0.381595109688502
42,21,0.5,50,-0.301029995663981,0.285,0.15,0.92375,0.00187664511162873,0.991190711994616,0.288518721913986,0.285075486129868,0.286894114683096,0.211899035912623,0.38477271238646
44,22,1,0,0,0.285,0.15,0.034,0.0012814835153056,0.537426315200018,0.288023723702015,0.284580813911944,0.286149320321025,0.212196331351657,0.381598020015113
44,22,0.75,25,-0.1249387366083,0.285,0.15,0.35595,0.00338562843132556,0.86716389755416,0.28831951425853,0.285373259682237,0.286828228860281,0.212547191799576,0.382029042218884
44,22,0.7,30,-0.154901959985743,0.285,0.15,0.4883,0.00353456581491985,0.910258445633146,0.288431178491052,0.285594890725365,0.287155732938061,0.212542946364241,0.38198875065068
44,22,0.6,40,-0.221848749616356,0.285,0.15,0.7588,0.00302508313935336,0.96952498212412,0.288290077583493,0.284967954756601,0.286711186754931,0.212934200389484,0.382671246126934
44,22,0.5,50,-0.301029995663981,0.285,0.15,0.9337,0.00175932245481037,0.992520219494833,0.288618692966807,0.285559053603375,0.287293870470471,0.2124021870949,0.383152079945022
46,23,1,0,0,0.285,0.15,0.03325,0.00126776254677286,0.535654400815416,0.288626334671313,0.285314596108947,0.287093340542909,0.212147986350227,0.383733696067732
46,23,0.75,25,-0.1249387366083,0.285,0.15,0.37925,0.00343088499880133,0.872527368264942,0.288468390786872,0.285435123050169,0.287009884882075,0.211607094394009,0.381008437103615
46,23,0.7,30,-0.154901959985743,0.285,0.15,0.4953,0.00353537770259417,0.913648971506596,0.28859124806303,0.285492193536015,0.287473334373758,0.211861258249822,0.383019764650677
46,23,0.6,40,-0.221848749616356,0.285,0.15,0.77845,0.00293654216298694,0.971678431576905,0.2882509650986,0.285038303697011,0.286870329925452,0.212180036994986,0.382743867023234
46,23,0.5,50,-0.301029995663981,0.285,0.15,0.9405,0.00167271859558026,0.993379148945425,0.288312947934658,0.285457178333854,0.28699132366558,0.212500233679437,0.381135910370655
48,24,1,0,0,0.285,0.15,0.03545,0.00130754153853711,0.535662491861433,0.288214932256528,0.284595699295074,0.286635351092464,0.212264088000173,0.381814690647821
48,24,0.75,25,-0.1249387366083,0.285,0.15,0.3775,0.0034277817170876,0.874246722571819,0.288122573932466,0.284818278484164,0.286436354225466,0.212779056608014,0.382989415431632
48,24,0.7,30,-0.154901959985743,0.285,0.15,0.51405,0.00353413778381658,0.919604634628892,0.288151152841082,0.285001490147987,0.286819638895109,0.212626980374789,0.381600921899848
48,24,0.6,40,-0.221848749616356,0.285,0.15,0.787,0.00289509067215519,0.973048918272657,0.288225648139549,0.285091454147893,0.286828869022334,0.212663004516051,0.380866302116723
48,24,0.5,50,-0.301029995663981,0.285,0.15,0.94965,0.00154620305102532,0.994524281229584,0.288236503827026,0.285370858732222,0.286926813150985,0.212706915451999,0.381345696636667
50,25,1,0,0,0.285,0.15,0.03055,0.00121689558919408,0.53452722703899,0.287762167932835,0.284498643165667,0.286806052858487,0.21143337087991,0.381558274195094
50,25,0.75,25,-0.1249387366083,0.285,0.15,0.38965,0.00344835379202889,0.87925062229047,0.288756943514284,0.285542303455719,0.287307186460303,0.212534869677489,0.38285482646908
50,25,0.7,30,-0.154901959985743,0.285,0.15,0.5337,0.00352749422394991,0.922175029789403,0.288503289094366,0.285117527674917,0.287313581548114,0.212651540939795,0.384435806409055
50,25,0.6,40,-0.221848749616356,0.285,0.15,0.80485,0.00280237825337694,0.975790960971552,0.288288596773974,0.28513625066562,0.28683663730731,0.213145157359784,0.383672384440177
50,25,0.5,50,-0.301029995663981,0.285,0.15,0.95525,0.00146197533323924,0.994835866282932,0.288092298871274,0.284977632086995,0.287029050148177,0.212217581890259,0.381641648938894
