Scenario,N,Mean_estimated_toxicity,SD_estimated_toxicity,Probability_within_5_percent
S1,12,0.14274669545438995,0.08650892974110382,0.2881
S1,15,0.1505028682424749,0.08142606389411772,0.4236
S1,18,0.14341711739744642,0.06987615841758617,0.3167
S2,12,0.16983692606157735,0.0838105317731813,0.4114
S2,15,0.17720268643581358,0.07624026223058919,0.464
S2,18,0.16850756307254855,0.06809714143337951,0.4145
S3,12,0.1939471719725311,0.08926171403866816,0.4872
S3,15,0.20124542967681042,0.08261191663362501,0.4485
S3,18,0.19260746406803123,0.07833251409186398,0.4661
S4,12,0.22900589376778518,0.10196125535869402,0.5061
S4,15,0.23446622662544206,0.09756308469270744,0.3797
S4,18,0.22585086023190612,0.10064186617641106,0.454
S5,12,0.307098387285681,0.14001036798301253,0.3621
S5,15,0.31834085839917353,0.1379014981180502,0.2167
S5,18,0.3185177448237475,0.1376330855743378,0.2692
