Scenario,Dose1,Dose2,Description,N,Reference_dose,Correct_MTD,Select_Dose1,Select_Dose2,Mean_DLT,Mean_DLT_rate,Mean_N,Mean_Dose1,Mean_Dose2,Stop_probability
S1,0.05,0.15,Both doses below target; Dose 2 closest,12,2,0.8405,0.1595,0.8405,1.3351,0.11133333333333333,11.9991,4.6803,7.3188,1e-4
S1,0.05,0.15,Both doses below target; Dose 2 closest,15,2,0.8877,0.1123,0.8877,1.739,0.11623555555555555,14.9949,5.1252,9.8697,5e-4
S1,0.05,0.15,Both doses below target; Dose 2 closest,18,2,0.8609,0.1391,0.8609,2.1466,0.11927222222222221,17.9994,5.4912,12.5082,1e-4
S2,0.1,0.2,Dose 2 at the 20% target,12,2,0.6568,0.3432,0.6568,1.8003,0.15135555555555555,11.9814,5.9181,6.0633,0.003
S2,0.1,0.2,Dose 2 at the 20% target,15,2,0.6943,0.3057,0.6943,2.2845,0.15368333333333334,14.9742,7.0107,7.9635,0.003
S2,0.1,0.2,Dose 2 at the 20% target,18,2,0.6535,0.3465,0.6535,2.8037,0.15717666666666666,17.9679,7.8993,10.0686,0.0029
S3,0.15,0.25,"Boundary scenario (15%, 25%); reference Dose 2",12,2,0.4646,0.5354,0.4646,2.2649,0.19284722222222223,11.9391,7.0881,4.851,0.0117
S3,0.15,0.25,"Boundary scenario (15%, 25%); reference Dose 2",15,2,0.4913,0.5087,0.4913,2.8543,0.1958322222222222,14.8914,8.6205,6.2709,0.0142
S3,0.15,0.25,"Boundary scenario (15%, 25%); reference Dose 2",18,2,0.4358,0.5642,0.4358,3.4483,0.19753166666666666,17.853,10.278,7.575,0.0147
S4,0.2,0.35,Dose 1 at target; Dose 2 overly toxic,12,1,0.7467,0.7467,0.2533,2.8935,0.2508861111111111,11.8455,8.3049,3.5406,0.0366
S4,0.2,0.35,Dose 1 at target; Dose 2 overly toxic,15,1,0.7398,0.7398,0.2602,3.5743,0.25249666666666665,14.7111,10.4106,4.3005,0.0447
S4,0.2,0.35,Dose 1 at target; Dose 2 overly toxic,18,1,0.8035,0.8035,0.1965,4.2455,0.2540277777777778,17.538,12.5325,5.0055,0.0523
S5,0.3,0.45,Both doses above target; Dose 1 is safer/closest available,12,1,0.919,0.919,0.081,3.6842,0.3504111111111111,11.3232,9.3108,2.0124,0.1633
S5,0.3,0.45,Both doses above target; Dose 1 is safer/closest available,15,1,0.9276,0.9276,0.0724,4.4892,0.35927888888888887,13.7631,11.5323,2.2308,0.2051
S5,0.3,0.45,Both doses above target; Dose 1 is safer/closest available,18,1,0.9575,0.9575,0.0425,5.2368,0.3614338888888889,16.1673,13.7187,2.4486,0.2317
