Scenario,N,Mean_interval_width,Median_interval_width,SD_interval_width,Lower_quartile,Upper_quartile
S1,12,0.31465632902788815,0.3109929631582476,0.06357159249856804,0.2656561439292511,0.3690921722791913
S1,15,0.289146089137745,0.310496698381198,0.05820421229015336,0.2558147291733598,0.3448892167887987
S1,18,0.261165454196846,0.2664987977665994,0.05011575166327661,0.21637442941679144,0.3000501405605041
S2,12,0.33088768616670633,0.3231563393998881,0.05745042103768187,0.31099296315824754,0.36909217227919133
S2,15,0.30530527951168984,0.3104966983811982,0.05011511037352808,0.2716144942738969,0.34488921678879875
S2,18,0.27609729303632496,0.27177304268127156,0.04417580694242209,0.2408447625142422,0.3063672916469038
S3,12,0.3423333313296495,0.36566753485983683,0.054707020562208594,0.3109929631582476,0.36909217227919133
S3,15,0.3170681896610852,0.31323163727119413,0.048005194905537105,0.2817673202862795,0.3448892167887988
S3,18,0.28796968932648753,0.300050140560504,0.04591358640576768,0.26649879776659935,0.3215728825835501
S4,12,0.3584978798490275,0.3683126096163721,0.053690900884035615,0.3231563393998881,0.39783144820256244
S4,15,0.33223623628402166,0.343026960936015,0.05110918864386828,0.310496698381198,0.36182112665947963
S4,18,0.30342180399113183,0.30014270322845843,0.05584492069623507,0.2717730426812715,0.32351197545846455
S5,12,0.39067134898814837,0.39783144820256244,0.06480715347023515,0.36831260961637197,0.41534678658507407
S5,15,0.36896232337443546,0.36379304490146047,0.07036205885584261,0.32609252600434924,0.3777266815745626
S5,18,0.34795831419165457,0.3330421606803996,0.0782080771401596,0.30014270322845843,0.3500468763800021
